interval,macd_fast,macd_slow,macd_signal,profit,profit_%,profit_%_per_day,APR_%,total_trades,trades_per_day,days_of_backtest,calc_date,script_version,index_number
1min,19,13,10,-8.465784345975209,-8.465784345975209,-0.3386313738390083,-123.60045145123804,95,3.8,25,2024-11-03,2.07,52
1min,19,13,13,-15.708838111282759,-15.708838111282757,-0.6283535244513103,-229.34903642472824,81,3.24,25,2024-11-03,2.07,53
1min,19,13,16,-18.096946327089086,-18.096946327089086,-0.7238778530835634,-264.21541637550064,77,3.08,25,2024-11-03,2.07,54
1min,19,13,19,-9.077800526781502,-9.077800526781502,-0.36311202107126006,-132.53588769100992,75,3.0,25,2024-11-03,2.07,55
1min,19,16,10,-14.873866235725714,-14.873866235725714,-0.5949546494290285,-217.15844704159542,81,3.24,25,2024-11-03,2.07,56
1min,19,16,13,-18.096946327089086,-18.096946327089086,-0.7238778530835634,-264.21541637550064,77,3.08,25,2024-11-03,2.07,57
1min,19,16,16,-6.857035096798413,-6.857035096798413,-0.2742814038719365,-100.11271241325682,77,3.08,25,2024-11-03,2.07,58
1min,19,16,19,-4.478036811717573,-4.478036811717573,-0.1791214724687029,-65.37933745107655,73,2.92,25,2024-11-03,2.07,59
1min,19,19,10,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,60
1min,19,19,13,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,61
1min,19,19,16,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,62
1min,19,19,19,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,63
